"タグID","タグ名","タググループ名","カテゴリID","カテゴリ名","カテゴリパス"
"5","カーゴパンツ","タイプ","2202","パンツ・ボトムス","メンズファッション"
"14","クロップドパンツ","タイプ","2202","パンツ・ボトムス","メンズファッション"
"19","サルエルパンツ","タイプ","2202","パンツ・ボトムス","メンズファッション"
"23","スキニーパンツ","タイプ","2202","パンツ・ボトムス","メンズファッション"
"34","テーパードパンツ","タイプ","2202","パンツ・ボトムス","メンズファッション"
"69","柄パンツ","タイプ","2202","パンツ・ボトムス","メンズファッション"
"143","アーガイル","柄","2202","パンツ・ボトムス","メンズファッション"
"146","ギンガムチェック","柄","2202","パンツ・ボトムス","メンズファッション"
"147","グレンチェック","柄","2202","パンツ・ボトムス","メンズファッション"
"148","スカル","柄","2202","パンツ・ボトムス","メンズファッション"
"149","ストライプ","柄","2202","パンツ・ボトムス","メンズファッション"
"150","ゼブラ","柄","2202","パンツ・ボトムス","メンズファッション"
"151","タータンチェック","柄","2202","パンツ・ボトムス","メンズファッション"
"152","その他チェック","柄","2202","パンツ・ボトムス","メンズファッション"
"157","ハート","柄","2202","パンツ・ボトムス","メンズファッション"
"159","花柄","柄","2202","パンツ・ボトムス","メンズファッション"
"162","ペイズリー","柄","2202","パンツ・ボトムス","メンズファッション"
"163","ボーダー","柄","2202","パンツ・ボトムス","メンズファッション"
"164","星","柄","2202","パンツ・ボトムス","メンズファッション"
"165","ドット（水玉）","柄","2202","パンツ・ボトムス","メンズファッション"
"166","カモフラージュ（迷彩）","柄","2202","パンツ・ボトムス","メンズファッション"
"167","モノグラム","柄","2202","パンツ・ボトムス","メンズファッション"
"168","ユニオンジャック","柄","2202","パンツ・ボトムス","メンズファッション"
"170","レオパード（ヒョウ柄）","柄","2202","パンツ・ボトムス","メンズファッション"
"172","千鳥格子","柄","2202","パンツ・ボトムス","メンズファッション"
"173","トロピカル柄","柄","2202","パンツ・ボトムス","メンズファッション"
"282","ウール","素材","2202","パンツ・ボトムス","メンズファッション"
"283","エナメル","素材","2202","パンツ・ボトムス","メンズファッション"
"288","カシミヤ","素材","2202","パンツ・ボトムス","メンズファッション"
"293","コーデュロイ","素材","2202","パンツ・ボトムス","メンズファッション"
"299","シフォン","素材","2202","パンツ・ボトムス","メンズファッション"
"303","シルク","素材","2202","パンツ・ボトムス","メンズファッション"
"305","スウェット","素材","2202","パンツ・ボトムス","メンズファッション"
"306","スエード","素材","2202","パンツ・ボトムス","メンズファッション"
"309","ダンガリー","素材","2202","パンツ・ボトムス","メンズファッション"
"311","ツイード","素材","2202","パンツ・ボトムス","メンズファッション"
"312","ナイロン","素材","2202","パンツ・ボトムス","メンズファッション"
"326","ベロア","素材","2202","パンツ・ボトムス","メンズファッション"
"337","リネン（麻）","素材","2202","パンツ・ボトムス","メンズファッション"
"340","レーヨン","素材","2202","パンツ・ボトムス","メンズファッション"
"398","フレア","タイプ","2202","パンツ・ボトムス","メンズファッション"
"431","タイダイ","柄","2202","パンツ・ボトムス","メンズファッション"
"492","バイカラー","柄","2202","パンツ・ボトムス","メンズファッション"
"504","無地","柄","2202","パンツ・ボトムス","メンズファッション"
"505","その他アニマル柄","柄","2202","パンツ・ボトムス","メンズファッション"
"506","レザー（本革）","素材","2202","パンツ・ボトムス","メンズファッション"
"507","フェイクレザー","素材","2202","パンツ・ボトムス","メンズファッション"
"508","コットン","素材","2202","パンツ・ボトムス","メンズファッション"
"544","アンゴラ","素材","2202","パンツ・ボトムス","メンズファッション"
"548","ジョガーパンツ","タイプ","2202","パンツ・ボトムス","メンズファッション"
"586","デニム","素材","2202","パンツ・ボトムス","メンズファッション"
"668","レース","素材","2202","パンツ・ボトムス","メンズファッション"
"705","トライバル","柄","2202","パンツ・ボトムス","メンズファッション"
"706","パイソン","柄","2202","パンツ・ボトムス","メンズファッション"
"834","ラインパンツ","タイプ","2202","パンツ・ボトムス","メンズファッション"
"1037","ロゴ","柄","2202","パンツ・ボトムス","メンズファッション"
"1147","ゴアテックス","素材","2202","パンツ・ボトムス","メンズファッション"
"1148","ボア","素材","2202","パンツ・ボトムス","メンズファッション"
"1967","ダメージジーンズ","タイプ","2202","パンツ・ボトムス","メンズファッション"
"2057","ワイド","タイプ","2202","パンツ・ボトムス","メンズファッション"
"2058","ストレート","タイプ","2202","パンツ・ボトムス","メンズファッション"
"2059","ブーツカット","タイプ","2202","パンツ・ボトムス","メンズファッション"
"143","アーガイル","柄","2203","アウター・ジャケット","メンズファッション"
"146","ギンガムチェック","柄","2203","アウター・ジャケット","メンズファッション"
"147","グレンチェック","柄","2203","アウター・ジャケット","メンズファッション"
"148","スカル","柄","2203","アウター・ジャケット","メンズファッション"
"149","ストライプ","柄","2203","アウター・ジャケット","メンズファッション"
"150","ゼブラ","柄","2203","アウター・ジャケット","メンズファッション"
"151","タータンチェック","柄","2203","アウター・ジャケット","メンズファッション"
"152","その他チェック","柄","2203","アウター・ジャケット","メンズファッション"
"157","ハート","柄","2203","アウター・ジャケット","メンズファッション"
"159","花柄","柄","2203","アウター・ジャケット","メンズファッション"
"162","ペイズリー","柄","2203","アウター・ジャケット","メンズファッション"
"163","ボーダー","柄","2203","アウター・ジャケット","メンズファッション"
"164","星","柄","2203","アウター・ジャケット","メンズファッション"
"165","ドット（水玉）","柄","2203","アウター・ジャケット","メンズファッション"
"166","カモフラージュ（迷彩）","柄","2203","アウター・ジャケット","メンズファッション"
"167","モノグラム","柄","2203","アウター・ジャケット","メンズファッション"
"168","ユニオンジャック","柄","2203","アウター・ジャケット","メンズファッション"
"170","レオパード（ヒョウ柄）","柄","2203","アウター・ジャケット","メンズファッション"
"172","千鳥格子","柄","2203","アウター・ジャケット","メンズファッション"
"173","トロピカル柄","柄","2203","アウター・ジャケット","メンズファッション"
"282","ウール","素材","2203","アウター・ジャケット","メンズファッション"
"288","カシミヤ","素材","2203","アウター・ジャケット","メンズファッション"
"306","スエード","素材","2203","アウター・ジャケット","メンズファッション"
"311","ツイード","素材","2203","アウター・ジャケット","メンズファッション"
"312","ナイロン","素材","2203","アウター・ジャケット","メンズファッション"
"321","フェイクムートン","素材","2203","アウター・ジャケット","メンズファッション"
"326","ベロア","素材","2203","アウター・ジャケット","メンズファッション"
"331","ムートン","素材","2203","アウター・ジャケット","メンズファッション"
"431","タイダイ","柄","2203","アウター・ジャケット","メンズファッション"
"492","バイカラー","柄","2203","アウター・ジャケット","メンズファッション"
"494","フェイクファー","素材","2203","アウター・ジャケット","メンズファッション"
"495","リアルファー","素材","2203","アウター・ジャケット","メンズファッション"
"504","無地","柄","2203","アウター・ジャケット","メンズファッション"
"505","その他アニマル柄","柄","2203","アウター・ジャケット","メンズファッション"
"506","レザー（本革）","素材","2203","アウター・ジャケット","メンズファッション"
"507","フェイクレザー","素材","2203","アウター・ジャケット","メンズファッション"
"508","コットン","素材","2203","アウター・ジャケット","メンズファッション"
"544","アンゴラ","素材","2203","アウター・ジャケット","メンズファッション"
"586","デニム","素材","2203","アウター・ジャケット","メンズファッション"
"705","トライバル","柄","2203","アウター・ジャケット","メンズファッション"
"706","パイソン","柄","2203","アウター・ジャケット","メンズファッション"
"1016","エコファー","素材","2203","アウター・ジャケット","メンズファッション"
"1018","シアリング","素材","2203","アウター・ジャケット","メンズファッション"
"1037","ロゴ","柄","2203","アウター・ジャケット","メンズファッション"
"1149","ゴアテックス","素材","2203","アウター・ジャケット","メンズファッション"
"1150","ボア","素材","2203","アウター・ジャケット","メンズファッション"
"3","エスパドリーユ","タイプ","2204","靴・ブーツ・サンダル","メンズファッション"
"28","スリッポン","タイプ","2204","靴・ブーツ・サンダル","メンズファッション"
"143","アーガイル","柄","2204","靴・ブーツ・サンダル","メンズファッション"
"146","ギンガムチェック","柄","2204","靴・ブーツ・サンダル","メンズファッション"
"147","グレンチェック","柄","2204","靴・ブーツ・サンダル","メンズファッション"
"148","スカル","柄","2204","靴・ブーツ・サンダル","メンズファッション"
"149","ストライプ","柄","2204","靴・ブーツ・サンダル","メンズファッション"
"150","ゼブラ","柄","2204","靴・ブーツ・サンダル","メンズファッション"
"151","タータンチェック","柄","2204","靴・ブーツ・サンダル","メンズファッション"
"152","その他チェック","柄","2204","靴・ブーツ・サンダル","メンズファッション"
"157","ハート","柄","2204","靴・ブーツ・サンダル","メンズファッション"
"159","花柄","柄","2204","靴・ブーツ・サンダル","メンズファッション"
"162","ペイズリー","柄","2204","靴・ブーツ・サンダル","メンズファッション"
"163","ボーダー","柄","2204","靴・ブーツ・サンダル","メンズファッション"
"164","星","柄","2204","靴・ブーツ・サンダル","メンズファッション"
"165","ドット（水玉）","柄","2204","靴・ブーツ・サンダル","メンズファッション"
"166","カモフラージュ（迷彩）","柄","2204","靴・ブーツ・サンダル","メンズファッション"
"167","モノグラム","柄","2204","靴・ブーツ・サンダル","メンズファッション"
"168","ユニオンジャック","柄","2204","靴・ブーツ・サンダル","メンズファッション"
"170","レオパード（ヒョウ柄）","柄","2204","靴・ブーツ・サンダル","メンズファッション"
"172","千鳥格子","柄","2204","靴・ブーツ・サンダル","メンズファッション"
"173","トロピカル柄","柄","2204","靴・ブーツ・サンダル","メンズファッション"
"188","エンジニアブーツ","タイプ","2204","靴・ブーツ・サンダル","メンズファッション"
"197","チャッカブーツ","タイプ","2204","靴・ブーツ・サンダル","メンズファッション"
"198","ドライビングシューズ","タイプ","2204","靴・ブーツ・サンダル","メンズファッション"
"205","マウンテンブーツ","タイプ","2204","靴・ブーツ・サンダル","メンズファッション"
"207","モカシン","タイプ","2204","靴・ブーツ・サンダル","メンズファッション"
"208","モンク","タイプ","2204","靴・ブーツ・サンダル","メンズファッション"
"213","ローファー","タイプ","2204","靴・ブーツ・サンダル","メンズファッション"
"283","エナメル","素材","2204","靴・ブーツ・サンダル","メンズファッション"
"295","サテン","素材","2204","靴・ブーツ・サンダル","メンズファッション"
"298","シープスキン","素材","2204","靴・ブーツ・サンダル","メンズファッション"
"306","スエード","素材","2204","靴・ブーツ・サンダル","メンズファッション"
"311","ツイード","素材","2204","靴・ブーツ・サンダル","メンズファッション"
"317","ハラコ","素材","2204","靴・ブーツ・サンダル","メンズファッション"
"321","フェイクムートン","素材","2204","靴・ブーツ・サンダル","メンズファッション"
"326","ベロア","素材","2204","靴・ブーツ・サンダル","メンズファッション"
"331","ムートン","素材","2204","靴・ブーツ・サンダル","メンズファッション"
"431","タイダイ","柄","2204","靴・ブーツ・サンダル","メンズファッション"
"492","バイカラー","柄","2204","靴・ブーツ・サンダル","メンズファッション"
"494","フェイクファー","素材","2204","靴・ブーツ・サンダル","メンズファッション"
"495","リアルファー","素材","2204","靴・ブーツ・サンダル","メンズファッション"
"504","無地","柄","2204","靴・ブーツ・サンダル","メンズファッション"
"505","その他アニマル柄","柄","2204","靴・ブーツ・サンダル","メンズファッション"
"506","レザー（本革）","素材","2204","靴・ブーツ・サンダル","メンズファッション"
"507","フェイクレザー","素材","2204","靴・ブーツ・サンダル","メンズファッション"
"527","デッキシューズ","タイプ","2204","靴・ブーツ・サンダル","メンズファッション"
"528","サイドゴアブーツ(チェルシーブーツ)","タイプ","2204","靴・ブーツ・サンダル","メンズファッション"
"587","スポーツサンダル","タイプ","2204","靴・ブーツ・サンダル","メンズファッション"
"588","シャワーサンダル","タイプ","2204","靴・ブーツ・サンダル","メンズファッション"
"672","PVC","素材","2204","靴・ブーツ・サンダル","メンズファッション"
"705","トライバル","柄","2204","靴・ブーツ・サンダル","メンズファッション"
"706","パイソン","柄","2204","靴・ブーツ・サンダル","メンズファッション"
"824","グルカサンダル","タイプ","2204","靴・ブーツ・サンダル","メンズファッション"
"877","シューホーン（靴べら）","タイプ","2204","靴・ブーツ・サンダル","メンズファッション"
"907","ダッドスニーカー","タイプ","2204","靴・ブーツ・サンダル","メンズファッション"
"923","ビーチサンダル","タイプ","2204","靴・ブーツ・サンダル","メンズファッション"
"924","ソックススニーカー","タイプ","2204","靴・ブーツ・サンダル","メンズファッション"
"1016","エコファー","素材","2204","靴・ブーツ・サンダル","メンズファッション"
"1018","シアリング","素材","2204","靴・ブーツ・サンダル","メンズファッション"
"1037","ロゴ","柄","2204","靴・ブーツ・サンダル","メンズファッション"
"1151","ゴアテックス","素材","2204","靴・ブーツ・サンダル","メンズファッション"
"1152","ボア","素材","2204","靴・ブーツ・サンダル","メンズファッション"
"2600","ヒールブーツ","タイプ","2204","靴・ブーツ・サンダル","メンズファッション"
"2601","ロングブーツ","タイプ","2204","靴・ブーツ・サンダル","メンズファッション"
"143","アーガイル","柄","2205","バッグ・カバン","メンズファッション"
"146","ギンガムチェック","柄","2205","バッグ・カバン","メンズファッション"
"147","グレンチェック","柄","2205","バッグ・カバン","メンズファッション"
"148","スカル","柄","2205","バッグ・カバン","メンズファッション"
"149","ストライプ","柄","2205","バッグ・カバン","メンズファッション"
"150","ゼブラ","柄","2205","バッグ・カバン","メンズファッション"
"151","タータンチェック","柄","2205","バッグ・カバン","メンズファッション"
"152","その他チェック","柄","2205","バッグ・カバン","メンズファッション"
"157","ハート","柄","2205","バッグ・カバン","メンズファッション"
"159","花柄","柄","2205","バッグ・カバン","メンズファッション"
"162","ペイズリー","柄","2205","バッグ・カバン","メンズファッション"
"163","ボーダー","柄","2205","バッグ・カバン","メンズファッション"
"164","星","柄","2205","バッグ・カバン","メンズファッション"
"165","ドット（水玉）","柄","2205","バッグ・カバン","メンズファッション"
"166","カモフラージュ（迷彩）","柄","2205","バッグ・カバン","メンズファッション"
"167","モノグラム","柄","2205","バッグ・カバン","メンズファッション"
"168","ユニオンジャック","柄","2205","バッグ・カバン","メンズファッション"
"170","レオパード（ヒョウ柄）","柄","2205","バッグ・カバン","メンズファッション"
"172","千鳥格子","柄","2205","バッグ・カバン","メンズファッション"
"173","トロピカル柄","柄","2205","バッグ・カバン","メンズファッション"
"286","オーストリッチ","素材","2205","バッグ・カバン","メンズファッション"
"287","カーフスキン","素材","2205","バッグ・カバン","メンズファッション"
"289","キャンバス","素材","2205","バッグ・カバン","メンズファッション"
"292","クロコダイル","素材","2205","バッグ・カバン","メンズファッション"
"294","コードバン","素材","2205","バッグ・カバン","メンズファッション"
"296","サフィアーノ","素材","2205","バッグ・カバン","メンズファッション"
"312","ナイロン","素材","2205","バッグ・カバン","メンズファッション"
"317","ハラコ","素材","2205","バッグ・カバン","メンズファッション"
"336","ラムスキン","素材","2205","バッグ・カバン","メンズファッション"
"431","タイダイ","柄","2205","バッグ・カバン","メンズファッション"
"453","ウエストバッグ","タイプ","2205","バッグ・カバン","メンズファッション"
"454","サッチェルバッグ","タイプ","2205","バッグ・カバン","メンズファッション"
"460","バッグインバッグ","タイプ","2205","バッグ・カバン","メンズファッション"
"464","A4サイズ収納可","タイプ","2205","バッグ・カバン","メンズファッション"
"465","2WAY","タイプ","2205","バッグ・カバン","メンズファッション"
"466","3WAY","タイプ","2205","バッグ・カバン","メンズファッション"
"492","バイカラー","柄","2205","バッグ・カバン","メンズファッション"
"504","無地","柄","2205","バッグ・カバン","メンズファッション"
"505","その他アニマル柄","柄","2205","バッグ・カバン","メンズファッション"
"506","レザー（本革）","素材","2205","バッグ・カバン","メンズファッション"
"507","フェイクレザー","素材","2205","バッグ・カバン","メンズファッション"
"586","デニム","素材","2205","バッグ・カバン","メンズファッション"
"672","PVC","素材","2205","バッグ・カバン","メンズファッション"
"705","トライバル","柄","2205","バッグ・カバン","メンズファッション"
"706","パイソン","柄","2205","バッグ・カバン","メンズファッション"
"795","サコッシュ","タイプ","2205","バッグ・カバン","メンズファッション"
"851","ボディバッグ","タイプ","2205","バッグ・カバン","メンズファッション"
"919","ミニショルダーバッグ","タイプ","2205","バッグ・カバン","メンズファッション"
"921","ナップサック","タイプ","2205","バッグ・カバン","メンズファッション"
"1037","ロゴ","柄","2205","バッグ・カバン","メンズファッション"
"1039","チェストバッグ","タイプ","2205","バッグ・カバン","メンズファッション"
"1153","ボア","素材","2205","バッグ・カバン","メンズファッション"
"2346","ビジネスリュック","タイプ","2205","バッグ・カバン","メンズファッション"
"2602","カメラバッグ","タイプ","2205","バッグ・カバン","メンズファッション"
"41","バングル","タイプ","2206","アクセサリー","メンズファッション"
"143","アーガイル","柄","2206","アクセサリー","メンズファッション"
"146","ギンガムチェック","柄","2206","アクセサリー","メンズファッション"
"147","グレンチェック","柄","2206","アクセサリー","メンズファッション"
"148","スカル","柄","2206","アクセサリー","メンズファッション"
"149","ストライプ","柄","2206","アクセサリー","メンズファッション"
"150","ゼブラ","柄","2206","アクセサリー","メンズファッション"
"151","タータンチェック","柄","2206","アクセサリー","メンズファッション"
"152","その他チェック","柄","2206","アクセサリー","メンズファッション"
"157","ハート","柄","2206","アクセサリー","メンズファッション"
"159","花柄","柄","2206","アクセサリー","メンズファッション"
"162","ペイズリー","柄","2206","アクセサリー","メンズファッション"
"163","ボーダー","柄","2206","アクセサリー","メンズファッション"
"164","星","柄","2206","アクセサリー","メンズファッション"
"165","ドット（水玉）","柄","2206","アクセサリー","メンズファッション"
"166","カモフラージュ（迷彩）","柄","2206","アクセサリー","メンズファッション"
"167","モノグラム","柄","2206","アクセサリー","メンズファッション"
"168","ユニオンジャック","柄","2206","アクセサリー","メンズファッション"
"170","レオパード（ヒョウ柄）","柄","2206","アクセサリー","メンズファッション"
"172","千鳥格子","柄","2206","アクセサリー","メンズファッション"
"173","トロピカル柄","柄","2206","アクセサリー","メンズファッション"
"431","タイダイ","柄","2206","アクセサリー","メンズファッション"
"492","バイカラー","柄","2206","アクセサリー","メンズファッション"
"504","無地","柄","2206","アクセサリー","メンズファッション"
"505","その他アニマル柄","柄","2206","アクセサリー","メンズファッション"
"506","レザー（本革）","素材","2206","アクセサリー","メンズファッション"
"509","メタル","素材","2206","アクセサリー","メンズファッション"
"510","樹脂・シリコン","素材","2206","アクセサリー","メンズファッション"
"621","シルバー","素材","2206","アクセサリー","メンズファッション"
"625","18K（18金）","素材","2206","アクセサリー","メンズファッション"
"626","22K（22金）","素材","2206","アクセサリー","メンズファッション"
"627","セラミック","素材","2206","アクセサリー","メンズファッション"
"628","ステンレス","素材","2206","アクセサリー","メンズファッション"
"629","ミリタリーバンド","素材","2206","アクセサリー","メンズファッション"
"705","トライバル","柄","2206","アクセサリー","メンズファッション"
"706","パイソン","柄","2206","アクセサリー","メンズファッション"
"876","ウォレットチェーン","タイプ","2206","アクセサリー","メンズファッション"
"1037","ロゴ","柄","2206","アクセサリー","メンズファッション"
"2069","ループタイ","タイプ","2206","アクセサリー","メンズファッション"
"143","アーガイル","柄","2208","財布・雑貨","メンズファッション"
"146","ギンガムチェック","柄","2208","財布・雑貨","メンズファッション"
"147","グレンチェック","柄","2208","財布・雑貨","メンズファッション"
"148","スカル","柄","2208","財布・雑貨","メンズファッション"
"149","ストライプ","柄","2208","財布・雑貨","メンズファッション"
"150","ゼブラ","柄","2208","財布・雑貨","メンズファッション"
"151","タータンチェック","柄","2208","財布・雑貨","メンズファッション"
"152","その他チェック","柄","2208","財布・雑貨","メンズファッション"
"157","ハート","柄","2208","財布・雑貨","メンズファッション"
"159","花柄","柄","2208","財布・雑貨","メンズファッション"
"162","ペイズリー","柄","2208","財布・雑貨","メンズファッション"
"163","ボーダー","柄","2208","財布・雑貨","メンズファッション"
"164","星","柄","2208","財布・雑貨","メンズファッション"
"165","ドット（水玉）","柄","2208","財布・雑貨","メンズファッション"
"166","カモフラージュ（迷彩）","柄","2208","財布・雑貨","メンズファッション"
"167","モノグラム","柄","2208","財布・雑貨","メンズファッション"
"168","ユニオンジャック","柄","2208","財布・雑貨","メンズファッション"
"170","レオパード（ヒョウ柄）","柄","2208","財布・雑貨","メンズファッション"
"172","千鳥格子","柄","2208","財布・雑貨","メンズファッション"
"173","トロピカル柄","柄","2208","財布・雑貨","メンズファッション"
"286","オーストリッチ","素材","2208","財布・雑貨","メンズファッション"
"287","カーフスキン","素材","2208","財布・雑貨","メンズファッション"
"289","キャンバス","素材","2208","財布・雑貨","メンズファッション"
"292","クロコダイル","素材","2208","財布・雑貨","メンズファッション"
"294","コードバン","素材","2208","財布・雑貨","メンズファッション"
"296","サフィアーノ","素材","2208","財布・雑貨","メンズファッション"
"312","ナイロン","素材","2208","財布・雑貨","メンズファッション"
"317","ハラコ","素材","2208","財布・雑貨","メンズファッション"
"336","ラムスキン","素材","2208","財布・雑貨","メンズファッション"
"431","タイダイ","柄","2208","財布・雑貨","メンズファッション"
"492","バイカラー","柄","2208","財布・雑貨","メンズファッション"
"504","無地","柄","2208","財布・雑貨","メンズファッション"
"505","その他アニマル柄","柄","2208","財布・雑貨","メンズファッション"
"506","レザー（本革）","素材","2208","財布・雑貨","メンズファッション"
"507","フェイクレザー","素材","2208","財布・雑貨","メンズファッション"
"586","デニム","素材","2208","財布・雑貨","メンズファッション"
"672","PVC","素材","2208","財布・雑貨","メンズファッション"
"705","トライバル","柄","2208","財布・雑貨","メンズファッション"
"706","パイソン","柄","2208","財布・雑貨","メンズファッション"
"1037","ロゴ","柄","2208","財布・雑貨","メンズファッション"
"1153","ボア","素材","2208","財布・雑貨","メンズファッション"
"143","アーガイル","柄","2209","インナー・ルームウェア","メンズファッション"
"146","ギンガムチェック","柄","2209","インナー・ルームウェア","メンズファッション"
"147","グレンチェック","柄","2209","インナー・ルームウェア","メンズファッション"
"148","スカル","柄","2209","インナー・ルームウェア","メンズファッション"
"149","ストライプ","柄","2209","インナー・ルームウェア","メンズファッション"
"150","ゼブラ","柄","2209","インナー・ルームウェア","メンズファッション"
"151","タータンチェック","柄","2209","インナー・ルームウェア","メンズファッション"
"152","その他チェック","柄","2209","インナー・ルームウェア","メンズファッション"
"157","ハート","柄","2209","インナー・ルームウェア","メンズファッション"
"159","花柄","柄","2209","インナー・ルームウェア","メンズファッション"
"162","ペイズリー","柄","2209","インナー・ルームウェア","メンズファッション"
"163","ボーダー","柄","2209","インナー・ルームウェア","メンズファッション"
"164","星","柄","2209","インナー・ルームウェア","メンズファッション"
"165","ドット（水玉）","柄","2209","インナー・ルームウェア","メンズファッション"
"166","カモフラージュ（迷彩）","柄","2209","インナー・ルームウェア","メンズファッション"
"167","モノグラム","柄","2209","インナー・ルームウェア","メンズファッション"
"168","ユニオンジャック","柄","2209","インナー・ルームウェア","メンズファッション"
"170","レオパード（ヒョウ柄）","柄","2209","インナー・ルームウェア","メンズファッション"
"172","千鳥格子","柄","2209","インナー・ルームウェア","メンズファッション"
"173","トロピカル柄","柄","2209","インナー・ルームウェア","メンズファッション"
"282","ウール","素材","2209","インナー・ルームウェア","メンズファッション"
"283","エナメル","素材","2209","インナー・ルームウェア","メンズファッション"
"288","カシミヤ","素材","2209","インナー・ルームウェア","メンズファッション"
"293","コーデュロイ","素材","2209","インナー・ルームウェア","メンズファッション"
"299","シフォン","素材","2209","インナー・ルームウェア","メンズファッション"
"303","シルク","素材","2209","インナー・ルームウェア","メンズファッション"
"305","スウェット","素材","2209","インナー・ルームウェア","メンズファッション"
"306","スエード","素材","2209","インナー・ルームウェア","メンズファッション"
"309","ダンガリー","素材","2209","インナー・ルームウェア","メンズファッション"
"311","ツイード","素材","2209","インナー・ルームウェア","メンズファッション"
"312","ナイロン","素材","2209","インナー・ルームウェア","メンズファッション"
"326","ベロア","素材","2209","インナー・ルームウェア","メンズファッション"
"337","リネン（麻）","素材","2209","インナー・ルームウェア","メンズファッション"
"340","レーヨン","素材","2209","インナー・ルームウェア","メンズファッション"
"431","タイダイ","柄","2209","インナー・ルームウェア","メンズファッション"
"492","バイカラー","柄","2209","インナー・ルームウェア","メンズファッション"
"504","無地","柄","2209","インナー・ルームウェア","メンズファッション"
"505","その他アニマル柄","柄","2209","インナー・ルームウェア","メンズファッション"
"506","レザー（本革）","素材","2209","インナー・ルームウェア","メンズファッション"
"507","フェイクレザー","素材","2209","インナー・ルームウェア","メンズファッション"
"508","コットン","素材","2209","インナー・ルームウェア","メンズファッション"
"544","アンゴラ","素材","2209","インナー・ルームウェア","メンズファッション"
"586","デニム","素材","2209","インナー・ルームウェア","メンズファッション"
"668","レース","素材","2209","インナー・ルームウェア","メンズファッション"
"705","トライバル","柄","2209","インナー・ルームウェア","メンズファッション"
"706","パイソン","柄","2209","インナー・ルームウェア","メンズファッション"
"1037","ロゴ","柄","2209","インナー・ルームウェア","メンズファッション"
"1147","ゴアテックス","素材","2209","インナー・ルームウェア","メンズファッション"
"1148","ボア","素材","2209","インナー・ルームウェア","メンズファッション"
"143","アーガイル","柄","2210","水着・ビーチグッズ","メンズファッション"
"146","ギンガムチェック","柄","2210","水着・ビーチグッズ","メンズファッション"
"147","グレンチェック","柄","2210","水着・ビーチグッズ","メンズファッション"
"148","スカル","柄","2210","水着・ビーチグッズ","メンズファッション"
"149","ストライプ","柄","2210","水着・ビーチグッズ","メンズファッション"
"150","ゼブラ","柄","2210","水着・ビーチグッズ","メンズファッション"
"151","タータンチェック","柄","2210","水着・ビーチグッズ","メンズファッション"
"152","その他チェック","柄","2210","水着・ビーチグッズ","メンズファッション"
"157","ハート","柄","2210","水着・ビーチグッズ","メンズファッション"
"159","花柄","柄","2210","水着・ビーチグッズ","メンズファッション"
"162","ペイズリー","柄","2210","水着・ビーチグッズ","メンズファッション"
"163","ボーダー","柄","2210","水着・ビーチグッズ","メンズファッション"
"164","星","柄","2210","水着・ビーチグッズ","メンズファッション"
"165","ドット（水玉）","柄","2210","水着・ビーチグッズ","メンズファッション"
"166","カモフラージュ（迷彩）","柄","2210","水着・ビーチグッズ","メンズファッション"
"167","モノグラム","柄","2210","水着・ビーチグッズ","メンズファッション"
"168","ユニオンジャック","柄","2210","水着・ビーチグッズ","メンズファッション"
"170","レオパード（ヒョウ柄）","柄","2210","水着・ビーチグッズ","メンズファッション"
"172","千鳥格子","柄","2210","水着・ビーチグッズ","メンズファッション"
"173","トロピカル柄","柄","2210","水着・ビーチグッズ","メンズファッション"
"431","タイダイ","柄","2210","水着・ビーチグッズ","メンズファッション"
"492","バイカラー","柄","2210","水着・ビーチグッズ","メンズファッション"
"504","無地","柄","2210","水着・ビーチグッズ","メンズファッション"
"505","その他アニマル柄","柄","2210","水着・ビーチグッズ","メンズファッション"
"705","トライバル","柄","2210","水着・ビーチグッズ","メンズファッション"
"706","パイソン","柄","2210","水着・ビーチグッズ","メンズファッション"
"1037","ロゴ","柄","2210","水着・ビーチグッズ","メンズファッション"
"9","カフス","タイプ","2214","ファッション雑貨・小物","メンズファッション"
"22","スカーフ","タイプ","2214","ファッション雑貨・小物","メンズファッション"
"143","アーガイル","柄","2214","ファッション雑貨・小物","メンズファッション"
"146","ギンガムチェック","柄","2214","ファッション雑貨・小物","メンズファッション"
"147","グレンチェック","柄","2214","ファッション雑貨・小物","メンズファッション"
"148","スカル","柄","2214","ファッション雑貨・小物","メンズファッション"
"149","ストライプ","柄","2214","ファッション雑貨・小物","メンズファッション"
"150","ゼブラ","柄","2214","ファッション雑貨・小物","メンズファッション"
"151","タータンチェック","柄","2214","ファッション雑貨・小物","メンズファッション"
"152","その他チェック","柄","2214","ファッション雑貨・小物","メンズファッション"
"157","ハート","柄","2214","ファッション雑貨・小物","メンズファッション"
"159","花柄","柄","2214","ファッション雑貨・小物","メンズファッション"
"162","ペイズリー","柄","2214","ファッション雑貨・小物","メンズファッション"
"163","ボーダー","柄","2214","ファッション雑貨・小物","メンズファッション"
"164","星","柄","2214","ファッション雑貨・小物","メンズファッション"
"165","ドット（水玉）","柄","2214","ファッション雑貨・小物","メンズファッション"
"166","カモフラージュ（迷彩）","柄","2214","ファッション雑貨・小物","メンズファッション"
"167","モノグラム","柄","2214","ファッション雑貨・小物","メンズファッション"
"168","ユニオンジャック","柄","2214","ファッション雑貨・小物","メンズファッション"
"170","レオパード（ヒョウ柄）","柄","2214","ファッション雑貨・小物","メンズファッション"
